id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
var33668,Casco de bicicleta MTB BKS para Adultos H360 Negro Gris,Maneja bicicleta más seguro con el casco para adultos MTB gris talla M. Encuentra este producto BKS en EFE.,in stock,new,65.00 PEN,,https://www.efe.com.pe/casco-para-adultos-mtb-talla-m-negro-y-gris.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/var33668_da1054462ef4.jpg,https://www.efe.com.pe/media/catalog/product/v/a/var33668_1.jpg,BKS,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Bicicletas,,,,,propio
ofr11ao,Termoradiador Imaco 2500W OFR11AO Blanco,Gracias al Termoradiador OFR11AO de Imaco tendrás ambientes con temperatura óptima.,in stock,new,309.00 PEN,,https://www.efe.com.pe/termoradiador-imaco-2500w-ofr11ao-blanco-ofr11ao.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/ofr11ao_bc30f802b52f.jpg,https://www.efe.com.pe/media/catalog/product/o/f/ofr11ao_1_kfh7gdtnd54ru8dz.jpg,Imaco,"Hardware > Heating, Ventilation & Air Conditioning",Electrohogar > Climatización > Calefacción,,,,,propio
sa-ar321ne,Juego de sala Casabella Arlett 3-2-1 Negro,Casabella tiene el juego de sala perfecto para tu hogar. Elige el tuyo en EFE web.,in stock,new,3429.00 PEN,,https://www.efe.com.pe/juego-de-sala-casabella-arlett-3-2-1-negro.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/sa-ar321ne_aaeefb8d6d1b.jpg,https://www.efe.com.pe/media/catalog/product/s/a/sa-ar321ne_1_1.jpg,Casabella,Furniture > Furniture Sets > Living Room Furniture Sets,Muebles > Sala > Juegos de Sala,HOGAR,,,,propio
fr910131,Colchón Matress In Box Forli Memory Foam 2PLZ+ Espuma Hr de 27KG/M3 + Viscoleastica de 45KG/M3,Descansa plácidamente con este Colchón matress in Box Forli memory foam 2 plazas + espuma HR de 27 Kg/m3 + viscoleastica de 45 Kg/m3. ¡Cómpralo acá en EFE!,in stock,new,899.00 PEN,,https://www.efe.com.pe/colchon-matress-in-box-forli-memory-foam-2-plazas-espuma-hr-de-27-kg-m3-viscoleastica-de-45-kg-m3-fr910131.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/fr910131_fdf5c9e6a1d5.jpg,https://www.efe.com.pe/media/catalog/product/f/r/fr910131_2.jpg,Forli,Home & Garden > Decor > Home Decor Decals,Estilo de vida > Hogareño > Descanso perfecto,HOGAR,,,,propio
k6-66829,Par de Mancuernas K6 Pesas Recubiertas de Vinil 2.27KG 5LB,Adquiere K6 Par de Mancuernas de Vinil K6 5 Lb Gris en Efe ¡De la web a tus manos!,in stock,new,49.00 PEN,,https://www.efe.com.pe/k6-par-de-mancuernas-de-vi-k6-5-lb-gr-k6-66829.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/k6-66829_039bc74940c5.jpg,https://www.efe.com.pe/media/catalog/product/k/6/k6-66829_1_tueeklx6fjuru5ut.jpg,K6,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Accesorios de deporte,,,,,propio
k6-66810,Pesa Rusa Crossfit para Gym K6 Kettlebell 8KG,Adquiere K6 Kettlebell / Pesa Rusa K6 8kg en EFE ¡De la web a tus manos!,in stock,new,109.00 PEN,,https://www.efe.com.pe/k6-kettlebell-pesa-rusa-k6-8kg-k6-66810.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/k6-66810_8e17b9df9cb3.jpg,https://www.efe.com.pe/media/catalog/product/k/6/k6-66810_1.jpg,K6,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Accesorios de deporte,,,,,propio
k6-67138,Colchoneta Yoga Mat K6 de 5MM con Bolso Fucsia,Adquiere K6 YOGA MAT 5MM FUCSIA (CON BOLSO) en EFE ¡De la web a tus manos!,in stock,new,80.00 PEN,,https://www.efe.com.pe/k6-yoga-mat-5mm-fucsia-con-bolso-k6-67138.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/k6-67138_be99bb164318.jpg,https://www.efe.com.pe/media/catalog/product/k/6/k6-67138_1.jpg,K6,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Accesorios de deporte,,,,,propio
var-33128,"Caucho para Bicicleta BKS Antipinchazo Plegable 27.5"" R460",BKS tiene los mejores accesorios para tu bicicleta. Encuentra lo que buscas en EFE.,in stock,new,100.00 PEN,,https://www.efe.com.pe/bks-llanta-hibrida-275x21-r460-p-bici-var-33128.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/var-33128_500ab7ec5ee1.jpg,https://www.efe.com.pe/media/catalog/product/v/a/var-33128_1_5knazsgvkfbhtwbj.jpg,BKS,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Bicicletas,,,,,propio
bks90008-1,Combo BKS 4 en 1 Rojo,Tus aventuras será más divertidas y seguras con la mayor variedad de accesorios para bicicletas que tenemos para ti. ¡Exclusiva en EFE!,in stock,new,139.00 PEN,,https://www.efe.com.pe/combo-bks-4-en-1-rojo-bks90008-1.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/bks90008-1_03d3987c98b0.jpg,https://www.efe.com.pe/media/catalog/product/b/k/bks90008-1_1_imeam0emjmtivyrz.jpg,BKS,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Accesorios de deporte,,,,,propio
fp01,Bomba de aire para Piso,Siempre ten los mejores accesorios al momento de andar en 2 ruedad gracias a Momo Design y su línea de productos para bicicletas.,in stock,new,149.00 PEN,,https://www.efe.com.pe/bomba-de-aire-para-piso-fp01-fp01.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/fp01_6ce89ae4e1b8.jpg,https://www.efe.com.pe/media/catalog/product/f/p/fp01_1_zenjaw1dr4nfcl8o.jpg,Genérico,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Bicicletas,,,,,propio
hl03,Luz delantera Dolble,Siempre ten los mejores accesorios al momento de andar en 2 ruedad gracias a Momo Design y su línea de productos para bicicletas.,in stock,new,149.00 PEN,,https://www.efe.com.pe/luz-delantera-doble-hl03-hl03.html,https://elias-figueroa-trabajo.github.io/repo-efe/efe/catalogo/img/hl03_b6966f199c2d.jpg,https://www.efe.com.pe/media/catalog/product/h/l/hl03_1_xbjlfmpdpqzwztsn.jpg,Genérico,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Bicicletas,,,,,propio
